start,end,multiple,xirr,max_dd
2003-04-01,2013-04-01,1.6439638658982192,0.07772132589567457,-0.4589413992072774
2013-06-07,2023-06-07,2.1406741174714305,0.11772796370911964,-0.22774397840126825
2000-03-10,2010-03-10,1.068276580427365,0.010502337753238337,-0.4697042611428732
2014-01-08,2024-01-08,2.206980740248617,0.12226825502639257,-0.22661818525807398
2004-01-27,2014-01-27,1.6741973013508409,0.0796574785498303,-0.4376005234169682
2015-02-04,2025-02-04,2.5034022990864604,0.14145397764797069,-0.22456795200580015
2004-04-13,2014-04-11,1.7017177030564656,0.08269787350048181,-0.4345417473132135
2006-09-19,2016-09-19,1.7872319333050721,0.08983868809858635,-0.38227324171444343
2010-08-30,2020-08-28,2.5806047500481726,0.14474606461640854,-0.2312730325758573
2001-05-14,2011-05-13,1.3021723571364914,0.041501988970656316,-0.4653004381255964
2008-11-03,2018-11-02,2.3481293259063247,0.1319419411694146,-0.19605935323169332
2007-12-10,2017-12-08,2.065916924422514,0.11225908950748506,-0.33352388883855544
2012-10-08,2022-10-07,2.0006529162066657,0.10746042126023914,-0.22885239336704655
2016-06-15,2026-06-15,2.817945326475936,0.15874316481943154,-0.22175935227871513
2010-09-14,2020-09-14,2.408419628720605,0.13511453356612177,-0.2310913478579174
2006-04-12,2016-04-12,1.7530812117775905,0.08717181873965522,-0.3928753106428706
2006-03-27,2016-03-24,1.7307747820652462,0.08482634925860785,-0.39383687580171967
2006-06-08,2016-06-08,1.8084175710457044,0.09204431557905467,-0.3913679170864801
2013-04-19,2023-04-19,2.1506522750323835,0.11788137881247543,-0.22811802555967298
2004-10-05,2014-10-03,1.809929120801809,0.09237565312370835,-0.425728184963186
2002-02-01,2012-02-01,1.3231368821329095,0.044172490711766134,-0.46224387988007
2004-12-27,2014-12-26,1.8799303650138028,0.09726678124062299,-0.4188017654650932
1999-07-30,2009-07-30,0.9170520227224975,-0.013772410873630379,-0.4738174394102004
2001-01-05,2011-01-05,1.2328489745120286,0.033084437802902114,-0.46679256873770325
2000-09-26,2010-09-24,1.0801756051929445,0.01217720372450503,-0.4668420713003001
2012-07-23,2022-07-22,2.2836848199297184,0.12677938156525942,-0.2293117474108992
2011-09-14,2021-09-14,2.880064924346597,0.16202209376560606,-0.2303345763557333
2011-04-06,2021-04-06,2.6056539725950727,0.14744933411531613,-0.2303578462067063
2007-03-14,2017-03-14,1.9237911970882662,0.1012335286506516,-0.36649848344008473
2011-08-11,2021-08-11,2.919200944893297,0.16425905619326037,-0.23043370442015843
2001-12-26,2011-12-23,1.2588681252132154,0.03608323675146005,-0.4628806890997734
2014-10-17,2024-10-17,2.5508780437714456,0.1436125009684148,-0.22547924417092513
2007-11-14,2017-11-14,2.0285799412114818,0.10922486975735285,-0.3402514929043481
2015-06-12,2025-06-12,2.4309504220470552,0.13665401165635155,-0.22385217205358388
2001-10-30,2011-10-28,1.3081666917850565,0.04194270540535419,-0.4662287024767048
2007-10-23,2017-10-23,2.007961293431497,0.10731478930167801,-0.3398772257677739
2011-04-04,2021-04-01,2.5730942587178753,0.14583349492657666,-0.23036433909767495
2007-10-11,2017-10-11,1.986827092364008,0.10621906283861418,-0.3370123064417153
2006-12-01,2016-12-01,1.7896422240758787,0.09069970080750353,-0.37224944273621563
2002-01-29,2012-01-27,1.3270274112228293,0.044158115235046785,-0.46341806162477606
2005-10-17,2015-10-16,1.7923198184108717,0.09041799860865586,-0.40600158392915986
